       s	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	       (Nm)	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	       (Nm)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	    (m/s^2)	    (m/s^2)	    (m/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)

   0.120	-5.5639E+02	 0.0000E+00	 7.9071E+05	 0.0000E+00	 6.5148E+04	 0.0000E+00	-5.3010E+04	 0.0000E+00	 5.4193E+05	 0.0000E+00	-2.1909E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.5442E+03	 0.0000E+00	-7.9069E+05	 0.0000E+00	-7.7747E+04	 0.0000E+00	 2.1006E+03	 0.0000E+00	-2.0411E+01	 0.0000E+00	 1.2599E+04	 0.0000E+00	-3.6465E+04	 0.0000E+00	-2.2033E+05	 0.0000E+00	 7.9018E+05	 0.0000E+00	-3.9139E+01	 0.0000E+00	 1.0180E+02	 0.0000E+00	 2.6046E+03	 0.0000E+00	 0.0000E+00	 2.8804E+05	-5.7221E+04	-1.2653E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.0489E+04	 6.0755E+01	-5.9021E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.4504E+05	-5.7093E+04	-2.5594E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.9838E+03	-1.2190E+01	-4.2180E+04	 0.0000E+00	 0.0000E+00
   0.121	-4.1537E+02	 0.0000E+00	 7.9186E+05	 0.0000E+00	 6.7401E+04	 0.0000E+00	-5.2825E+04	 0.0000E+00	 5.4249E+05	 0.0000E+00	-2.1929E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.6434E+03	 0.0000E+00	-7.9184E+05	 0.0000E+00	-7.9746E+04	 0.0000E+00	 2.0588E+03	 0.0000E+00	-2.0587E+01	 0.0000E+00	 1.2345E+04	 0.0000E+00	-3.6675E+04	 0.0000E+00	-2.2147E+05	 0.0000E+00	 7.9638E+05	 0.0000E+00	 7.1030E+01	 0.0000E+00	 1.0266E+02	 0.0000E+00	 2.0169E+03	 0.0000E+00	 0.0000E+00	 2.8873E+05	-5.7367E+04	-1.2687E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.0686E+04	 6.0359E+01	-6.0088E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.4618E+05	-5.7242E+04	-2.5748E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.0776E+03	-1.2111E+01	-4.2748E+04	 0.0000E+00	 0.0000E+00
   0.122	-2.7268E+02	 0.0000E+00	 7.9301E+05	 0.0000E+00	 6.9674E+04	 0.0000E+00	-5.2641E+04	 0.0000E+00	 5.4302E+05	 0.0000E+00	-2.1949E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.7444E+03	 0.0000E+00	-7.9299E+05	 0.0000E+00	-8.1765E+04	 0.0000E+00	 2.0170E+03	 0.0000E+00	-2.0748E+01	 0.0000E+00	 1.2091E+04	 0.0000E+00	-3.6883E+04	 0.0000E+00	-2.2262E+05	 0.0000E+00	 8.0254E+05	 0.0000E+00	 1.7949E+02	 0.0000E+00	 1.0348E+02	 0.0000E+00	 1.4377E+03	 0.0000E+00	 0.0000E+00	 2.8941E+05	-5.7511E+04	-1.2720E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.0877E+04	 5.9955E+01	-6.1123E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.4731E+05	-5.7388E+04	-2.5901E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.1680E+03	-1.2030E+01	-4.3295E+04	 0.0000E+00	 0.0000E+00
   0.123	-1.2835E+02	 0.0000E+00	 7.9415E+05	 0.0000E+00	 7.1966E+04	 0.0000E+00	-5.2457E+04	 0.0000E+00	 5.4354E+05	 0.0000E+00	-2.1969E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.8470E+03	 0.0000E+00	-7.9413E+05	 0.0000E+00	-8.3804E+04	 0.0000E+00	 1.9753E+03	 0.0000E+00	-2.0906E+01	 0.0000E+00	 1.1837E+04	 0.0000E+00	-3.7088E+04	 0.0000E+00	-2.2376E+05	 0.0000E+00	 8.0866E+05	 0.0000E+00	 2.8628E+02	 0.0000E+00	 1.0427E+02	 0.0000E+00	 8.6681E+02	 0.0000E+00	 0.0000E+00	 2.9010E+05	-5.7651E+04	-1.2753E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.1062E+04	 5.9536E+01	-6.2126E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.4844E+05	-5.7530E+04	-2.6053E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.2551E+03	-1.1947E+01	-4.3823E+04	 0.0000E+00	 0.0000E+00
   0.124	 1.7569E+01	 0.0000E+00	 7.9529E+05	 0.0000E+00	 7.4277E+04	 0.0000E+00	-5.2274E+04	 0.0000E+00	 5.4404E+05	 0.0000E+00	-2.1988E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.9512E+03	 0.0000E+00	-7.9527E+05	 0.0000E+00	-8.5861E+04	 0.0000E+00	 1.9336E+03	 0.0000E+00	-2.1058E+01	 0.0000E+00	 1.1584E+04	 0.0000E+00	-3.7291E+04	 0.0000E+00	-2.2489E+05	 0.0000E+00	 8.1474E+05	 0.0000E+00	 3.9139E+02	 0.0000E+00	 1.0503E+02	 0.0000E+00	 3.0426E+02	 0.0000E+00	 0.0000E+00	 2.9078E+05	-5.7789E+04	-1.2786E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.1242E+04	 5.9119E+01	-6.3098E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.4957E+05	-5.7669E+04	-2.6205E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.3391E+03	-1.1862E+01	-4.4332E+04	 0.0000E+00	 0.0000E+00
   0.125	 1.6505E+02	 0.0000E+00	 7.9643E+05	 0.0000E+00	 7.6606E+04	 0.0000E+00	-5.2091E+04	 0.0000E+00	 5.4453E+05	 0.0000E+00	-2.2006E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.0570E+03	 0.0000E+00	-7.9640E+05	 0.0000E+00	-8.7937E+04	 0.0000E+00	 1.8920E+03	 0.0000E+00	-2.1202E+01	 0.0000E+00	 1.1331E+04	 0.0000E+00	-3.7492E+04	 0.0000E+00	-2.2602E+05	 0.0000E+00	 8.2078E+05	 0.0000E+00	 4.9485E+02	 0.0000E+00	 1.0577E+02	 0.0000E+00	-2.5006E+02	 0.0000E+00	 0.0000E+00	 2.9145E+05	-5.7923E+04	-1.2818E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.1416E+04	 5.8690E+01	-6.4039E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.5068E+05	-5.7806E+04	-2.6356E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.4199E+03	-1.1776E+01	-4.4822E+04	 0.0000E+00	 0.0000E+00
   0.126	 3.1406E+02	 0.0000E+00	 7.9755E+05	 0.0000E+00	 7.8952E+04	 0.0000E+00	-5.1909E+04	 0.0000E+00	 5.4499E+05	 0.0000E+00	-2.2023E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.1645E+03	 0.0000E+00	-7.9753E+05	 0.0000E+00	-9.0031E+04	 0.0000E+00	 1.8504E+03	 0.0000E+00	-2.1345E+01	 0.0000E+00	 1.1079E+04	 0.0000E+00	-3.7690E+04	 0.0000E+00	-2.2714E+05	 0.0000E+00	 8.2679E+05	 0.0000E+00	 5.9666E+02	 0.0000E+00	 1.0647E+02	 0.0000E+00	-7.9615E+02	 0.0000E+00	 0.0000E+00	 2.9212E+05	-5.8054E+04	-1.2851E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.1585E+04	 5.8247E+01	-6.4950E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.5180E+05	-5.7939E+04	-2.6506E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.4977E+03	-1.1688E+01	-4.5293E+04	 0.0000E+00	 0.0000E+00
   0.127	 4.6453E+02	 0.0000E+00	 7.9868E+05	 0.0000E+00	 8.1316E+04	 0.0000E+00	-5.1729E+04	 0.0000E+00	 5.4545E+05	 0.0000E+00	-2.2040E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2735E+03	 0.0000E+00	-7.9865E+05	 0.0000E+00	-9.2143E+04	 0.0000E+00	 1.8090E+03	 0.0000E+00	-2.1475E+01	 0.0000E+00	 1.0827E+04	 0.0000E+00	-3.7886E+04	 0.0000E+00	-2.2826E+05	 0.0000E+00	 8.3276E+05	 0.0000E+00	 6.9683E+02	 0.0000E+00	 1.0713E+02	 0.0000E+00	-1.3340E+03	 0.0000E+00	 0.0000E+00	 2.9279E+05	-5.8182E+04	-1.2883E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.1748E+04	 5.7807E+01	-6.5833E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.5291E+05	-5.8069E+04	-2.6656E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.5724E+03	-1.1600E+01	-4.5746E+04	 0.0000E+00	 0.0000E+00
   0.128	 6.1646E+02	 0.0000E+00	 7.9979E+05	 0.0000E+00	 8.3697E+04	 0.0000E+00	-5.1549E+04	 0.0000E+00	 5.4588E+05	 0.0000E+00	-2.2056E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.3841E+03	 0.0000E+00	-7.9977E+05	 0.0000E+00	-9.4273E+04	 0.0000E+00	 1.7676E+03	 0.0000E+00	-2.1595E+01	 0.0000E+00	 1.0576E+04	 0.0000E+00	-3.8079E+04	 0.0000E+00	-2.2937E+05	 0.0000E+00	 8.3868E+05	 0.0000E+00	 7.9538E+02	 0.0000E+00	 1.0776E+02	 0.0000E+00	-1.8638E+03	 0.0000E+00	 0.0000E+00	 2.9345E+05	-5.8307E+04	-1.2914E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.1907E+04	 5.7355E+01	-6.6686E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.5401E+05	-5.8196E+04	-2.6805E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.6442E+03	-1.1509E+01	-4.6181E+04	 0.0000E+00	 0.0000E+00
   0.129	 7.6980E+02	 0.0000E+00	 8.0090E+05	 0.0000E+00	 8.6094E+04	 0.0000E+00	-5.1370E+04	 0.0000E+00	 5.4630E+05	 0.0000E+00	-2.2072E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.4962E+03	 0.0000E+00	-8.0088E+05	 0.0000E+00	-9.6419E+04	 0.0000E+00	 1.7264E+03	 0.0000E+00	-2.1720E+01	 0.0000E+00	 1.0326E+04	 0.0000E+00	-3.8270E+04	 0.0000E+00	-2.3048E+05	 0.0000E+00	 8.4457E+05	 0.0000E+00	 8.9231E+02	 0.0000E+00	 1.0836E+02	 0.0000E+00	-2.3855E+03	 0.0000E+00	 0.0000E+00	 2.9411E+05	-5.8430E+04	-1.2945E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.2060E+04	 5.6897E+01	-6.7511E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.5511E+05	-5.8321E+04	-2.6954E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.7131E+03	-1.1418E+01	-4.6598E+04	 0.0000E+00	 0.0000E+00
   0.130	 9.2450E+02	 0.0000E+00	 8.0201E+05	 0.0000E+00	 8.8507E+04	 0.0000E+00	-5.1191E+04	 0.0000E+00	 5.4671E+05	 0.0000E+00	-2.2087E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.6098E+03	 0.0000E+00	-8.0199E+05	 0.0000E+00	-9.8583E+04	 0.0000E+00	 1.6853E+03	 0.0000E+00	-2.1831E+01	 0.0000E+00	 1.0076E+04	 0.0000E+00	-3.8459E+04	 0.0000E+00	-2.3158E+05	 0.0000E+00	 8.5042E+05	 0.0000E+00	 9.8767E+02	 0.0000E+00	 1.0893E+02	 0.0000E+00	-2.8993E+03	 0.0000E+00	 0.0000E+00	 2.9477E+05	-5.8549E+04	-1.2976E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.2208E+04	 5.6436E+01	-6.8309E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.5620E+05	-5.8442E+04	-2.7102E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.7792E+03	-1.1326E+01	-4.6999E+04	 0.0000E+00	 0.0000E+00
   0.131	 1.0805E+03	 0.0000E+00	 8.0311E+05	 0.0000E+00	 9.0935E+04	 0.0000E+00	-5.1014E+04	 0.0000E+00	 5.4710E+05	 0.0000E+00	-2.2102E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.7248E+03	 0.0000E+00	-8.0309E+05	 0.0000E+00	-1.0076E+05	 0.0000E+00	 1.6443E+03	 0.0000E+00	-2.1937E+01	 0.0000E+00	 9.8278E+03	 0.0000E+00	-3.8645E+04	 0.0000E+00	-2.3268E+05	 0.0000E+00	 8.5623E+05	 0.0000E+00	 1.0814E+03	 0.0000E+00	 1.0946E+02	 0.0000E+00	-3.4050E+03	 0.0000E+00	 0.0000E+00	 2.9542E+05	-5.8666E+04	-1.3007E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.2351E+04	 5.5969E+01	-6.9079E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.5729E+05	-5.8560E+04	-2.7249E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.8426E+03	-1.1231E+01	-4.7383E+04	 0.0000E+00	 0.0000E+00
   0.132	 1.2379E+03	 0.0000E+00	 8.0420E+05	 0.0000E+00	 9.3379E+04	 0.0000E+00	-5.0838E+04	 0.0000E+00	 5.4748E+05	 0.0000E+00	-2.2116E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.8413E+03	 0.0000E+00	-8.0418E+05	 0.0000E+00	-1.0296E+05	 0.0000E+00	 1.6035E+03	 0.0000E+00	-2.2039E+01	 0.0000E+00	 9.5802E+03	 0.0000E+00	-3.8829E+04	 0.0000E+00	-2.3377E+05	 0.0000E+00	 8.6199E+05	 0.0000E+00	 1.1736E+03	 0.0000E+00	 1.0997E+02	 0.0000E+00	-3.9028E+03	 0.0000E+00	 0.0000E+00	 2.9607E+05	-5.8779E+04	-1.3037E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.2489E+04	 5.5493E+01	-6.9823E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.5838E+05	-5.8676E+04	-2.7395E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.9032E+03	-1.1137E+01	-4.7751E+04	 0.0000E+00	 0.0000E+00
   0.133	 1.3964E+03	 0.0000E+00	 8.0529E+05	 0.0000E+00	 9.5837E+04	 0.0000E+00	-5.0663E+04	 0.0000E+00	 5.4784E+05	 0.0000E+00	-2.2129E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.9593E+03	 0.0000E+00	-8.0527E+05	 0.0000E+00	-1.0517E+05	 0.0000E+00	 1.5628E+03	 0.0000E+00	-2.2136E+01	 0.0000E+00	 9.3337E+03	 0.0000E+00	-3.9010E+04	 0.0000E+00	-2.3485E+05	 0.0000E+00	 8.6772E+05	 0.0000E+00	 1.2642E+03	 0.0000E+00	 1.1046E+02	 0.0000E+00	-4.3928E+03	 0.0000E+00	 0.0000E+00	 2.9672E+05	-5.8890E+04	-1.3067E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.2623E+04	 5.5019E+01	-7.0541E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.5946E+05	-5.8788E+04	-2.7541E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.9613E+03	-1.1041E+01	-4.8103E+04	 0.0000E+00	 0.0000E+00
   0.134	 1.5563E+03	 0.0000E+00	 8.0637E+05	 0.0000E+00	 9.8309E+04	 0.0000E+00	-5.0489E+04	 0.0000E+00	 5.4819E+05	 0.0000E+00	-2.2142E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.0786E+03	 0.0000E+00	-8.0635E+05	 0.0000E+00	-1.0740E+05	 0.0000E+00	 1.5223E+03	 0.0000E+00	-2.2229E+01	 0.0000E+00	 9.0882E+03	 0.0000E+00	-3.9189E+04	 0.0000E+00	-2.3593E+05	 0.0000E+00	 8.7341E+05	 0.0000E+00	 1.3533E+03	 0.0000E+00	 1.1091E+02	 0.0000E+00	-4.8750E+03	 0.0000E+00	 0.0000E+00	 2.9736E+05	-5.8998E+04	-1.3097E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.2752E+04	 5.4535E+01	-7.1233E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.6053E+05	-5.8898E+04	-2.7687E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-8.0167E+03	-1.0944E+01	-4.8439E+04	 0.0000E+00	 0.0000E+00
   0.135	 1.7173E+03	 0.0000E+00	 8.0745E+05	 0.0000E+00	 1.0080E+05	 0.0000E+00	-5.0317E+04	 0.0000E+00	 5.4853E+05	 0.0000E+00	-2.2155E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.1993E+03	 0.0000E+00	-8.0743E+05	 0.0000E+00	-1.0964E+05	 0.0000E+00	 1.4820E+03	 0.0000E+00	-2.2312E+01	 0.0000E+00	 8.8439E+03	 0.0000E+00	-3.9366E+04	 0.0000E+00	-2.3700E+05	 0.0000E+00	 8.7906E+05	 0.0000E+00	 1.4409E+03	 0.0000E+00	 1.1133E+02	 0.0000E+00	-5.3494E+03	 0.0000E+00	 0.0000E+00	 2.9800E+05	-5.9103E+04	-1.3126E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.2876E+04	 5.4048E+01	-7.1900E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.6160E+05	-5.9005E+04	-2.7831E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-8.0696E+03	-1.0847E+01	-4.8760E+04	 0.0000E+00	 0.0000E+00
   0.136	 1.8794E+03	 0.0000E+00	 8.0852E+05	 0.0000E+00	 1.0330E+05	 0.0000E+00	-5.0145E+04	 0.0000E+00	 5.4885E+05	 0.0000E+00	-2.2167E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.3214E+03	 0.0000E+00	-8.0850E+05	 0.0000E+00	-1.1190E+05	 0.0000E+00	 1.4420E+03	 0.0000E+00	-2.2390E+01	 0.0000E+00	 8.6008E+03	 0.0000E+00	-3.9540E+04	 0.0000E+00	-2.3807E+05	 0.0000E+00	 8.8468E+05	 0.0000E+00	 1.5269E+03	 0.0000E+00	 1.1174E+02	 0.0000E+00	-5.8161E+03	 0.0000E+00	 0.0000E+00	 2.9863E+05	-5.9205E+04	-1.3155E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.2996E+04	 5.3557E+01	-7.2542E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.6267E+05	-5.9109E+04	-2.7975E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-8.1201E+03	-1.0749E+01	-4.9066E+04	 0.0000E+00	 0.0000E+00
   0.137	 2.0427E+03	 0.0000E+00	 8.0959E+05	 0.0000E+00	 1.0581E+05	 0.0000E+00	-4.9975E+04	 0.0000E+00	 5.4916E+05	 0.0000E+00	-2.2178E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.4448E+03	 0.0000E+00	-8.0956E+05	 0.0000E+00	-1.1417E+05	 0.0000E+00	 1.4021E+03	 0.0000E+00	-2.2464E+01	 0.0000E+00	 8.3590E+03	 0.0000E+00	-3.9713E+04	 0.0000E+00	-2.3913E+05	 0.0000E+00	 8.9025E+05	 0.0000E+00	 1.6115E+03	 0.0000E+00	 1.1210E+02	 0.0000E+00	-6.2753E+03	 0.0000E+00	 0.0000E+00	 2.9926E+05	-5.9305E+04	-1.3184E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.3112E+04	 5.3063E+01	-7.3161E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.6373E+05	-5.9211E+04	-2.8118E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-8.1681E+03	-1.0648E+01	-4.9358E+04	 0.0000E+00	 0.0000E+00
   0.138	 2.2071E+03	 0.0000E+00	 8.1065E+05	 0.0000E+00	 1.0833E+05	 0.0000E+00	-4.9805E+04	 0.0000E+00	 5.4946E+05	 0.0000E+00	-2.2189E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.5695E+03	 0.0000E+00	-8.1062E+05	 0.0000E+00	-1.1645E+05	 0.0000E+00	 1.3624E+03	 0.0000E+00	-2.2534E+01	 0.0000E+00	 8.1186E+03	 0.0000E+00	-3.9882E+04	 0.0000E+00	-2.4018E+05	 0.0000E+00	 8.9578E+05	 0.0000E+00	 1.6945E+03	 0.0000E+00	 1.1244E+02	 0.0000E+00	-6.7268E+03	 0.0000E+00	 0.0000E+00	 2.9989E+05	-5.9402E+04	-1.3212E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.3223E+04	 5.2567E+01	-7.3755E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.6478E+05	-5.9309E+04	-2.8261E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-8.2138E+03	-1.0549E+01	-4.9635E+04	 0.0000E+00	 0.0000E+00
   0.139	 2.3725E+03	 0.0000E+00	 8.1170E+05	 0.0000E+00	 1.1087E+05	 0.0000E+00	-4.9637E+04	 0.0000E+00	 5.4974E+05	 0.0000E+00	-2.2200E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.6954E+03	 0.0000E+00	-8.1168E+05	 0.0000E+00	-1.1875E+05	 0.0000E+00	 1.3229E+03	 0.0000E+00	-2.2594E+01	 0.0000E+00	 7.8795E+03	 0.0000E+00	-4.0050E+04	 0.0000E+00	-2.4123E+05	 0.0000E+00	 9.0127E+05	 0.0000E+00	 1.7761E+03	 0.0000E+00	 1.1276E+02	 0.0000E+00	-7.1709E+03	 0.0000E+00	 0.0000E+00	 3.0051E+05	-5.9496E+04	-1.3240E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.3330E+04	 5.2068E+01	-7.4327E+04	 0.0000E+00	 0.0000E+00	 0.0000E+00	-3.6583E+05	-5.9405E+04	-2.8403E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	-8.2572E+03	-1.0448E+01	-4.9898E+04	 0.0000E+00	 0.0000E+00
