       s	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	       (Nm)	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	       (Nm)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	    (m/s^2)	    (m/s^2)	    (m/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)

   0.007	-9.6469E+02	 0.0000E+00	 2.9670E+05	 0.0000E+00	-5.2805E+03	 0.0000E+00	-3.2268E+04	 0.0000E+00	 2.0827E+05	 0.0000E+00	-9.2344E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-5.8329E+01	 0.0000E+00	-2.9499E+05	 0.0000E+00	-4.1172E+02	 0.0000E+00	 1.0230E+03	 0.0000E+00	-1.7065E+03	 0.0000E+00	 5.6922E+03	 0.0000E+00	-4.6727E+02	 0.0000E+00	 1.0577E+05	 0.0000E+00	 7.1245E+03	 0.0000E+00	-2.4420E+04	 0.0000E+00	-1.1904E+03	 0.0000E+00	 1.0918E+05	 0.0000E+00	 0.0000E+00	 2.2051E+05	-5.4220E+03	-9.1341E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.0849E+05	-2.6010E+03	 5.7594E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2278E+05	-2.4085E+03	-9.3942E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 6.0795E+04	 5.0680E+02	 3.6606E+05	 0.0000E+00	 0.0000E+00
   0.008	-7.9868E+02	 0.0000E+00	 3.2539E+05	 0.0000E+00	-4.3523E+03	 0.0000E+00	-3.5642E+04	 0.0000E+00	 2.1734E+05	 0.0000E+00	-9.5900E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.6212E+01	 0.0000E+00	-3.2234E+05	 0.0000E+00	-5.3808E+02	 0.0000E+00	 8.7489E+02	 0.0000E+00	-3.0547E+03	 0.0000E+00	 4.8904E+03	 0.0000E+00	-6.3562E+02	 0.0000E+00	 9.3265E+04	 0.0000E+00	 9.7258E+03	 0.0000E+00	-2.5321E+04	 0.0000E+00	 6.3333E+03	 0.0000E+00	 1.1383E+05	 0.0000E+00	 0.0000E+00	 2.2039E+05	-6.6568E+03	-9.1142E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-9.9001E+04	-2.2608E+03	 5.4472E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2321E+05	-3.3347E+03	-9.4441E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.7851E+04	 4.6031E+02	 3.4881E+05	 0.0000E+00	 0.0000E+00
   0.009	-6.0135E+02	 0.0000E+00	 3.5291E+05	 0.0000E+00	-3.2523E+03	 0.0000E+00	-3.8668E+04	 0.0000E+00	 2.2601E+05	 0.0000E+00	-9.9285E+06	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-9.5930E+01	 0.0000E+00	-3.4891E+05	 0.0000E+00	-6.7773E+02	 0.0000E+00	 6.9728E+02	 0.0000E+00	-4.0010E+03	 0.0000E+00	 3.9301E+03	 0.0000E+00	-8.3211E+02	 0.0000E+00	 8.0381E+04	 0.0000E+00	 1.2776E+04	 0.0000E+00	-2.5784E+04	 0.0000E+00	 1.1816E+04	 0.0000E+00	 1.1660E+05	 0.0000E+00	 0.0000E+00	 2.2026E+05	-8.0049E+03	-9.0933E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-9.1040E+04	-1.8423E+03	 5.1708E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2369E+05	-4.3796E+03	-9.4989E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.5161E+04	 4.0423E+02	 3.3302E+05	 0.0000E+00	 0.0000E+00
   0.010	-3.9018E+02	 0.0000E+00	 3.7909E+05	 0.0000E+00	-2.0782E+03	 0.0000E+00	-4.1362E+04	 0.0000E+00	 2.3431E+05	 0.0000E+00	-1.0251E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.1701E+02	 0.0000E+00	-3.7445E+05	 0.0000E+00	-8.2754E+02	 0.0000E+00	 5.0719E+02	 0.0000E+00	-4.6429E+03	 0.0000E+00	 2.9057E+03	 0.0000E+00	-1.0555E+03	 0.0000E+00	 6.7465E+04	 0.0000E+00	 1.6262E+04	 0.0000E+00	-2.5904E+04	 0.0000E+00	 1.5670E+04	 0.0000E+00	 1.1790E+05	 0.0000E+00	 0.0000E+00	 2.2015E+05	-9.4343E+03	-9.0720E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-8.4370E+04	-1.3944E+03	 4.9257E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2420E+05	-5.5288E+03	-9.5583E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.2701E+04	 3.3952E+02	 3.1854E+05	 0.0000E+00	 0.0000E+00
   0.011	-1.7948E+02	 0.0000E+00	 4.0385E+05	 0.0000E+00	-9.0945E+02	 0.0000E+00	-4.3740E+04	 0.0000E+00	 2.4227E+05	 0.0000E+00	-1.0560E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.3894E+02	 0.0000E+00	-3.9880E+05	 0.0000E+00	-9.8408E+02	 0.0000E+00	 3.1842E+02	 0.0000E+00	-5.0493E+03	 0.0000E+00	 1.8935E+03	 0.0000E+00	-1.3042E+03	 0.0000E+00	 5.4767E+04	 0.0000E+00	 2.0160E+04	 0.0000E+00	-2.5762E+04	 0.0000E+00	 1.8238E+04	 0.0000E+00	 1.1806E+05	 0.0000E+00	 0.0000E+00	 2.2005E+05	-1.0913E+04	-9.0507E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.8780E+04	-9.5250E+02	 4.7075E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2475E+05	-6.7656E+03	-9.6222E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.0447E+04	 2.6910E+02	 3.0525E+05	 0.0000E+00	 0.0000E+00
   0.012	 1.9825E+01	 0.0000E+00	 4.2712E+05	 0.0000E+00	 1.9299E+02	 0.0000E+00	-4.5824E+04	 0.0000E+00	 2.4992E+05	 0.0000E+00	-1.0856E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.6117E+02	 0.0000E+00	-4.2184E+05	 0.0000E+00	-1.1439E+03	 0.0000E+00	 1.4135E+02	 0.0000E+00	-5.2716E+03	 0.0000E+00	 9.5090E+02	 0.0000E+00	-1.5760E+03	 0.0000E+00	 4.2465E+04	 0.0000E+00	 2.4445E+04	 0.0000E+00	-2.5428E+04	 0.0000E+00	 1.9804E+04	 0.0000E+00	 1.1738E+05	 0.0000E+00	 0.0000E+00	 2.1997E+05	-1.2410E+04	-9.0298E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.4082E+04	-5.3976E+02	 4.5121E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2532E+05	-8.0719E+03	-9.6902E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.8376E+04	 1.9657E+02	 2.9300E+05	 0.0000E+00	 0.0000E+00
   0.013	 1.9990E+02	 0.0000E+00	 4.4888E+05	 0.0000E+00	 1.1856E+03	 0.0000E+00	-4.7635E+04	 0.0000E+00	 2.5727E+05	 0.0000E+00	-1.1139E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-1.8320E+02	 0.0000E+00	-4.4353E+05	 0.0000E+00	-1.3036E+03	 0.0000E+00	-1.6701E+01	 0.0000E+00	-5.3504E+03	 0.0000E+00	 1.1805E+02	 0.0000E+00	-1.8688E+03	 0.0000E+00	 3.0674E+04	 0.0000E+00	 2.9087E+04	 0.0000E+00	-2.4960E+04	 0.0000E+00	 2.0597E+04	 0.0000E+00	 1.1609E+05	 0.0000E+00	 0.0000E+00	 2.1991E+05	-1.3902E+04	-9.0098E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-7.0121E+04	-1.7003E+02	 4.3363E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2593E+05	-9.4290E+03	-9.7621E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.6469E+04	 1.2541E+02	 2.8170E+05	 0.0000E+00	 0.0000E+00
   0.014	 3.5549E+02	 0.0000E+00	 4.6915E+05	 0.0000E+00	 2.0391E+03	 0.0000E+00	-4.9200E+04	 0.0000E+00	 2.6436E+05	 0.0000E+00	-1.1412E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.0453E+02	 0.0000E+00	-4.6384E+05	 0.0000E+00	-1.4601E+03	 0.0000E+00	-1.5096E+02	 0.0000E+00	-5.3183E+03	 0.0000E+00	-5.7902E+02	 0.0000E+00	-2.1804E+03	 0.0000E+00	 1.9468E+04	 0.0000E+00	 3.4056E+04	 0.0000E+00	-2.4403E+04	 0.0000E+00	 2.0801E+04	 0.0000E+00	 1.1438E+05	 0.0000E+00	 0.0000E+00	 2.1987E+05	-1.5367E+04	-8.9908E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.6762E+04	 1.4985E+02	 4.1771E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2656E+05	-1.0819E+04	-9.8378E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.4707E+04	 5.8463E+01	 2.7122E+05	 0.0000E+00	 0.0000E+00
   0.015	 4.8343E+02	 0.0000E+00	 4.8797E+05	 0.0000E+00	 2.7364E+03	 0.0000E+00	-5.0543E+04	 0.0000E+00	 2.7121E+05	 0.0000E+00	-1.1675E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2471E+02	 0.0000E+00	-4.8277E+05	 0.0000E+00	-1.6106E+03	 0.0000E+00	-2.5872E+02	 0.0000E+00	-5.2020E+03	 0.0000E+00	-1.1257E+03	 0.0000E+00	-2.5086E+03	 0.0000E+00	 8.8858E+03	 0.0000E+00	 3.9321E+04	 0.0000E+00	-2.3792E+04	 0.0000E+00	 2.0566E+04	 0.0000E+00	 1.1240E+05	 0.0000E+00	 0.0000E+00	 2.1985E+05	-1.6790E+04	-8.9733E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.3896E+04	 4.1787E+02	 4.0320E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2722E+05	-1.2224E+04	-9.9171E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.3073E+04	-2.2314E+00	 2.6149E+05	 0.0000E+00	 0.0000E+00
   0.016	 5.8221E+02	 0.0000E+00	 5.0538E+05	 0.0000E+00	 3.2692E+03	 0.0000E+00	-5.1692E+04	 0.0000E+00	 2.7783E+05	 0.0000E+00	-1.1928E+07	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.4333E+02	 0.0000E+00	-5.0036E+05	 0.0000E+00	-1.7527E+03	 0.0000E+00	-3.3888E+02	 0.0000E+00	-5.0235E+03	 0.0000E+00	-1.5165E+03	 0.0000E+00	-2.8512E+03	 0.0000E+00	-1.0563E+03	 0.0000E+00	 4.4853E+04	 0.0000E+00	-2.3154E+04	 0.0000E+00	 2.0009E+04	 0.0000E+00	 1.1026E+05	 0.0000E+00	 0.0000E+00	 2.1986E+05	-1.8161E+04	-8.9575E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.1431E+04	 6.3526E+02	 3.8988E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	-2.2790E+05	-1.3628E+04	-9.9999E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.1553E+04	-5.5384E+01	 2.5240E+05	 0.0000E+00	 0.0000E+00
