
These predictions were generated by SubDyn on 13-Aug-2013 at 17:24:07.

    Time	   ReactXss	   ReactYss	   ReactZss	  ReactMXss	  ReactMYss	  ReactMZss	    IntfXss	    IntfYss	    IntfZss	   IntfMXss	   IntfMYss	   IntfMZss	  IntfTDXss	  IntfTDYss	  IntfTDZss	  IntfRDXss	  IntfRDYss	  IntfRDZss	  IntfTAXss	  IntfTAYss	  IntfTAZss	  IntfRAXss	  IntfRAYss	  IntfRAZss	   M1N1FKze	   M1N1MKxe	   M1N1MKye	     SSqm01	     SSqm02	     SSqm03	    SSqmd01	    SSqmd02	    SSqmd03	   SSqmdd01	   SSqmdd02	   SSqmdd03	   M1J1FKxe	   M1J1FKye	   M1J1FKze	   M1J1MKxe	   M1J1MKye	   M1J1MKze	   M1J1FMxe	   M1J1FMye	   M1J1FMze	   M1J1MMxe	   M1J1MMye	   M1J1MMze	   M1J2FKxe	   M1J2FKye	   M1J2FKze	   M1J2MKxe	   M1J2MKye	   M1J2MKze	   M1J2FMxe	   M1J2FMye	   M1J2FMze	   M1J2MMxe	   M1J2MMye	   M1J2MMze	   M2J1FKxe	   M2J1FKye	   M2J1FKze	   M2J1MKxe	   M2J1MKye	   M2J1MKze	   M2J1FMxe	   M2J1FMye	   M2J1FMze	   M2J1MMxe	   M2J1MMye	   M2J1MMze	   M2J2FKxe	   M2J2FKye	   M2J2FKze	   M2J2MKxe	   M2J2MKye	   M2J2MKze	   M2J2FMxe	   M2J2FMye	   M2J2FMze	   M2J2MMxe	   M2J2MMye	   M2J2MMze	   M3J1FKxe	   M3J1FKye	   M3J1FKze	   M3J1MKxe	   M3J1MKye	   M3J1MKze	   M3J1FMxe	   M3J1FMye	   M3J1FMze	   M3J1MMxe	   M3J1MMye	   M3J1MMze	   M3J2FKxe	   M3J2FKye	   M3J2FKze	   M3J2MKxe	   M3J2MKye	   M3J2MKze	   M3J2FMxe	   M3J2FMye	   M3J2FMze	   M3J2MMxe	   M3J2MMye	   M3J2MMze	   M4J1FKxe	   M4J1FKye	   M4J1FKze	   M4J1MKxe	   M4J1MKye	   M4J1MKze	   M4J1FMxe	   M4J1FMye	   M4J1FMze	   M4J1MMxe	   M4J1MMye	   M4J1MMze	   M4J2FKxe	   M4J2FKye	   M4J2FKze	   M4J2MKxe	   M4J2MKye	   M4J2MKze	   M4J2FMxe	   M4J2FMye	   M4J2FMze	   M4J2MMxe	   M4J2MMye	   M4J2MMze	   M5J1FKxe	   M5J1FKye	   M5J1FKze	   M5J1MKxe	   M5J1MKye	   M5J1MKze	   M5J1FMxe	   M5J1FMye	   M5J1FMze	   M5J1MMxe	   M5J1MMye	   M5J1MMze	   M5J2FKxe	   M5J2FKye	   M5J2FKze	   M5J2MKxe	   M5J2MKye	   M5J2MKze	   M5J2FMxe	   M5J2FMye	   M5J2FMze	   M5J2MMxe	   M5J2MMye	   M5J2MMze

       s	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	       (Nm)	        (N)	        (N)	        (N)	       (Nm)	       (Nm)	       (Nm)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	    (m/s^2)	    (m/s^2)	    (m/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	        (N)	      (N*m)	      (N*m)	       (--)	       (--)	       (--)	      (1/s)	      (1/s)	      (1/s)	    (1/s^2)	    (1/s^2)	    (1/s^2)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)

   0.000	-5.0781E-02	-3.5156E-02	 8.3029E+06	-1.1250E+00	 1.1250E+00	-1.8750E-01	-5.0854E-01	-5.0156E-01	-2.7407E+06	-5.2933E-02	-1.8606E-01	-3.9551E-02	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.4611E+06	 4.4198E+05	-4.4198E+05	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-4.3710E+04	-4.3710E+04	-4.4611E+06	 4.4198E+05	-4.4198E+05	 0.0000E+00	-1.2296E+04	-1.2296E+04	 3.0961E+05	 5.7474E+04	-5.7474E+04	 1.9847E-10	-4.3710E+04	-4.3710E+04	-3.0579E+06	-4.3221E+05	 4.3221E+05	 0.0000E+00	 1.7834E+04	 1.7834E+04	-6.1922E+05	 7.4104E+04	-7.4104E+04	-3.9694E-10	 4.3710E+04	 4.3710E+04	-4.4611E+06	-4.4198E+05	 4.4198E+05	 0.0000E+00	 1.2296E+04	 1.2296E+04	 3.0961E+05	-5.7474E+04	 5.7474E+04	-6.2092E-11	 4.3710E+04	 4.3710E+04	-3.0579E+06	 4.3221E+05	-4.3221E+05	 0.0000E+00	-1.7834E+04	-1.7834E+04	-6.1922E+05	-7.4104E+04	 7.4104E+04	 1.2418E-10	 0.0000E+00	 1.0524E+06	 2.6979E+06	-5.2712E+06	-4.6875E-02	 2.0371E-02	 0.0000E+00	-1.2649E+06	 7.2263E+03	 6.1869E+06	-1.7159E-09	 0.0000E+00	 0.0000E+00	-1.0524E+06	 2.6979E+06	-5.2712E+06	 4.6875E-02	-2.2788E-02	 0.0000E+00	 1.2649E+06	 7.2263E+03	 6.1869E+06	-2.3128E-09	 0.0000E+00	 0.0000E+00	 7.0116E+05	-5.5343E+06	-3.3237E+06	-6.5918E-03	 8.7891E-03	 6.9053E-04	-5.6075E+05	 7.7766E+05	 1.9015E+06	-1.2311E-09	 1.6415E-09	 0.0000E+00	-6.0526E+05	-3.7924E+06	-2.1250E+06	 2.4636E-02	 3.9809E-03	 0.0000E+00	 1.7540E+05	-3.8883E+05	 1.0699E+06	-8.0300E-10	 1.0707E-09	 0.0000E+00	 6.0526E+05	-3.7924E+06	-2.1250E+06	-6.5918E-04	-8.7891E-04	 0.0000E+00	-1.7540E+05	-3.8883E+05	 1.0699E+06	-2.5122E-10	-3.3496E-10	 0.0000E+00	-7.0116E+05	-5.5343E+06	-3.3237E+06	 7.3242E-04	 9.7656E-04	 6.9053E-04	 5.6075E+05	 7.7766E+05	 1.9015E+06	-3.8516E-10	-5.1355E-10
   0.010	-4.6875E-02	-3.1250E-02	 1.2749E+07	-1.5000E+00	 1.5000E+00	-1.5625E-01	-5.2242E-01	-5.4220E-01	 2.5782E+05	-3.6631E-02	-1.1096E-01	 6.5858E-02	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.2661E+06	 9.1089E+05	-9.1089E+05	 4.8547E-17	-1.7581E-16	-2.5181E-16	 9.4142E-15	-3.3812E-14	-4.3622E-14	 8.6754E-13	-3.0417E-12	-2.6528E-12	-1.1864E+05	-1.1864E+05	-6.2661E+06	 9.1089E+05	-9.1089E+05	-4.7265E-10	 7.2690E+04	 7.2690E+04	-1.0827E+05	-3.4288E+05	 3.4288E+05	-1.6582E-11	-1.1864E+05	-1.1864E+05	-4.8629E+06	-1.4619E+06	 1.4619E+06	-4.7265E-10	-1.2717E+05	-1.2717E+05	 2.1654E+05	-4.7160E+05	 4.7160E+05	 3.3164E-11	 1.1864E+05	 1.1864E+05	-6.2661E+06	-9.1089E+05	 9.1089E+05	-5.4477E-11	-7.2690E+04	-7.2690E+04	-1.0827E+05	 3.4288E+05	-3.4288E+05	 6.6652E-11	 1.1864E+05	 1.1864E+05	-4.8629E+06	 1.4619E+06	-1.4619E+06	-5.4477E-11	 1.2717E+05	 1.2717E+05	 2.1654E+05	 4.7160E+05	-4.7160E+05	-1.3330E-10	-8.8388E-02	 1.0524E+06	 2.1494E+06	-4.7425E+06	-3.9062E-02	-2.2097E-02	 1.7263E-04	-1.2400E+05	 5.4986E+03	 1.2741E+06	 1.8420E-09	 0.0000E+00	-8.8388E-02	-1.0524E+06	 2.1494E+06	-4.7425E+06	 3.9062E-02	 0.0000E+00	-1.7263E-04	 1.2400E+05	 5.4986E+03	 1.2741E+06	 2.4826E-09	 0.0000E+00	 0.0000E+00	 6.5330E+05	-4.3454E+06	-2.5721E+06	-4.4730E-02	-1.4016E-02	-1.1049E-02	-9.6330E+04	-2.6198E+05	 6.9047E+05	 1.0286E-10	-1.3715E-10	 0.0000E+00	-6.5312E+05	-2.6035E+06	-2.5698E+06	 9.3750E-03	-1.2500E-02	 0.0000E+00	 1.1452E+05	 1.3099E+05	 6.4444E+05	 6.7090E-11	-8.9453E-11	 0.0000E+00	 6.5312E+05	-2.6035E+06	-2.5698E+06	-4.4194E-03	 3.3146E-03	 0.0000E+00	-1.1452E+05	 1.3099E+05	 6.4444E+05	 2.6967E-10	 3.5956E-10	 0.0000E+00	-6.5330E+05	-4.3454E+06	-2.5721E+06	 3.1765E-11	 4.2353E-11	-1.1049E-02	 9.6330E+04	-2.6198E+05	 6.9047E+05	 4.1345E-10	 5.5127E-10
   0.020	 0.0000E+00	 0.0000E+00	 1.2783E+07	 4.7500E+00	-4.7500E+00	 7.0506E-10	-4.8651E-01	-5.0859E-01	 4.4418E+05	-4.9142E-02	-2.3852E-01	 5.8826E-02	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.4143E+06	 2.4059E+06	-2.4059E+06	 1.8121E-16	-6.4352E-16	-7.1929E-16	 1.6718E-14	-5.7877E-14	-4.2727E-14	 6.3233E-13	-1.9543E-12	 1.7344E-12	-3.4686E+05	-3.4686E+05	-6.4143E+06	 2.4059E+06	-2.4059E+06	-1.1017E-09	-6.4702E+04	-6.4702E+04	 2.2603E+04	 3.0566E+05	-3.0566E+05	-2.1866E-12	-3.4686E+05	-3.4686E+05	-5.0111E+06	-4.5314E+06	 4.5314E+06	-1.1017E-09	 1.1642E+05	 1.1642E+05	-4.5206E+04	 4.2474E+05	-4.2474E+05	 4.3733E-12	 3.4686E+05	 3.4686E+05	-6.4143E+06	-2.4059E+06	 2.4059E+06	-6.5596E-10	 6.4702E+04	 6.4702E+04	 2.2603E+04	-3.0566E+05	 3.0566E+05	-4.9098E-11	 3.4686E+05	 3.4686E+05	-5.0111E+06	 4.5314E+06	-4.5314E+06	-6.5596E-10	-1.1642E+05	-1.1642E+05	-4.5206E+04	-4.2474E+05	 4.2474E+05	 9.8196E-11	-8.8388E-02	 1.0524E+06	 1.6741E+06	-3.2580E+06	-4.6875E-02	-1.7678E-01	 0.0000E+00	 4.2044E+05	-1.2034E+04	-2.6610E+06	-1.3569E-09	 0.0000E+00	-8.8388E-02	-1.0524E+06	 1.6741E+06	-3.2580E+06	 4.6875E-02	 8.8388E-02	 0.0000E+00	-4.2044E+05	-1.2034E+04	-2.6610E+06	-1.8288E-09	 0.0000E+00	 0.0000E+00	 5.4700E+05	-4.4400E+06	-8.1272E+05	-6.4241E-10	 8.5654E-10	 0.0000E+00	 2.1406E+05	 4.1179E+04	-1.0540E+06	 1.3564E-11	-1.8085E-11	 0.0000E+00	-7.5941E+05	-2.6981E+06	-3.4678E+06	 7.5698E-11	-1.0093E-10	 0.0000E+00	-1.4307E+05	-2.0590E+04	-8.2389E+05	 8.8470E-12	-1.1796E-11	 0.0000E+00	 7.5941E+05	-2.6981E+06	-3.4678E+06	-4.5069E-11	-6.0092E-11	 0.0000E+00	 1.4307E+05	-2.0590E+04	-8.2389E+05	-1.9865E-10	-2.6486E-10	 0.0000E+00	-5.4700E+05	-4.4400E+06	-8.1272E+05	-7.0711E-02	 5.3033E-02	 0.0000E+00	-2.1406E+05	 4.1179E+04	-1.0540E+06	-3.0456E-10	-4.0608E-10
   0.030	-6.2500E-02	-3.1250E-02	 1.3861E+07	 4.2500E+00	-4.2500E+00	-5.0000E-01	-4.7550E-01	-4.9627E-01	 6.0933E+05	-7.5171E-02	-1.9744E-01	 9.6389E-02	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.9104E+06	 2.8353E+06	-2.8353E+06	 3.7426E-16	-1.2940E-15	-1.0054E-15	 2.1437E-14	-7.0197E-14	-1.2084E-14	 3.6248E-13	-7.4777E-13	 3.5089E-12	-4.1396E+05	-4.1396E+05	-6.9104E+06	 2.8353E+06	-2.8353E+06	-1.8482E-09	-3.4229E+04	-3.4229E+04	-2.0244E+04	 1.5908E+05	-1.5908E+05	 9.0786E-12	-4.1396E+05	-4.1396E+05	-5.5072E+06	-5.4439E+06	 5.4439E+06	-1.8482E-09	 4.3315E+04	 4.3315E+04	 4.0488E+04	 1.9653E+05	-1.9653E+05	-1.8157E-11	 4.1396E+05	 4.1396E+05	-6.9104E+06	-2.8353E+06	 2.8353E+06	-8.2690E-10	 3.4229E+04	 3.4229E+04	-2.0244E+04	-1.5908E+05	 1.5908E+05	 2.3339E-11	 4.1396E+05	 4.1396E+05	-5.5072E+06	 5.4439E+06	-5.4439E+06	-8.2690E-10	-4.3315E+04	-4.3315E+04	 4.0488E+04	-1.9653E+05	 1.9653E+05	-4.6679E-11	 0.0000E+00	 1.0524E+06	 1.3535E+06	-2.8025E+06	-3.9062E-02	 0.0000E+00	 0.0000E+00	 4.9150E+05	 3.4147E+04	-2.8860E+06	 6.4499E-10	 0.0000E+00	 0.0000E+00	-1.0524E+06	 1.3535E+06	-2.8025E+06	 3.9063E-02	-1.7678E-01	 0.0000E+00	-4.9150E+05	 3.4147E+04	-2.8860E+06	 8.6933E-10	-8.8388E-02	 0.0000E+00	 5.1146E+05	-4.1892E+06	-2.3621E+05	-1.0777E-09	 1.4369E-09	 0.0000E+00	 3.2244E+05	-7.8711E+03	-1.3659E+06	-3.5355E-02	-2.6517E-02	 0.0000E+00	-7.9496E+05	-2.4473E+06	-3.7800E+06	 1.2699E-10	-1.6931E-10	 0.0000E+00	-1.6405E+05	 3.9356E+03	-9.6018E+05	-3.6731E-11	 4.8975E-11	 0.0000E+00	 7.9496E+05	-2.4473E+06	-3.7800E+06	-5.6814E-11	-7.5752E-11	 0.0000E+00	 1.6405E+05	 3.9356E+03	-9.6018E+05	 9.4429E-11	 1.2591E-10	 0.0000E+00	-5.1146E+05	-4.1892E+06	-2.3621E+05	 4.8215E-10	 6.4286E-10	 0.0000E+00	-3.2244E+05	-7.8711E+03	-1.3659E+06	 3.5355E-02	-2.6517E-02
   0.040	-3.1250E-02	 0.0000E+00	 1.3199E+07	 5.0000E-01	-5.0000E-01	-5.0000E-01	-5.0333E-01	-5.2305E-01	 1.6673E+05	-4.0755E-02	-1.9172E-01	 5.0589E-02	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.5938E+06	 2.3834E+06	-2.3834E+06	 6.0078E-16	-2.0080E-15	-9.6655E-16	 2.3414E-14	-7.0734E-14	 1.7319E-14	 8.9419E-14	 3.8891E-13	 2.2534E-12	-3.4387E+05	-3.4387E+05	-6.5938E+06	 2.3834E+06	-2.3834E+06	-2.4847E-09	-1.2555E+04	-1.2555E+04	-5.9217E+03	 5.9854E+04	-5.9854E+04	-3.9918E-11	-3.4387E+05	-3.4387E+05	-5.1906E+06	-4.4940E+06	 4.4940E+06	-2.4847E-09	 2.6373E+04	 2.6373E+04	 1.1843E+04	 8.8250E+04	-8.8250E+04	 7.9836E-11	 3.4387E+05	 3.4387E+05	-6.5938E+06	-2.3834E+06	 2.3834E+06	-1.2054E-09	 1.2555E+04	 1.2555E+04	-5.9217E+03	-5.9854E+04	 5.9854E+04	 1.1557E-11	 3.4387E+05	 3.4387E+05	-5.1906E+06	 4.4940E+06	-4.4940E+06	-1.2054E-09	-2.6373E+04	-2.6373E+04	 1.1843E+04	-8.8250E+04	 8.8250E+04	-2.3113E-11	 0.0000E+00	 1.0524E+06	 1.6294E+06	-3.2721E+06	-3.9063E-02	-8.8388E-02	 0.0000E+00	 1.0227E+05	-1.0722E+04	-5.9226E+05	 3.1937E-10	 2.2097E-02	 0.0000E+00	-1.0524E+06	 1.6294E+06	-3.2721E+06	 3.9063E-02	 0.0000E+00	 0.0000E+00	-1.0227E+05	-1.0722E+04	-5.9226E+05	 4.3045E-10	 2.2097E-02	 0.0000E+00	 5.4693E+05	-4.3174E+06	-8.1591E+05	-1.8750E-02	 2.5000E-02	 0.0000E+00	 3.3524E+04	-2.8012E+04	-1.6153E+05	-4.4194E-03	-3.3146E-03	 0.0000E+00	-7.5948E+05	-2.5755E+06	-3.4728E+06	 5.4105E-02	 1.5165E-03	 0.0000E+00	-2.1586E+04	 1.4006E+04	-1.2455E+05	 1.6151E-10	-2.1534E-10	 0.0000E+00	 7.5948E+05	-2.5755E+06	-3.4728E+06	-8.2822E-11	-1.1043E-10	 0.0000E+00	 2.1586E+04	 1.4006E+04	-1.2455E+05	 4.6757E-11	 6.2343E-11	 0.0000E+00	-5.4693E+05	-4.3174E+06	-8.1591E+05	 7.0711E-02	-5.3033E-02	 0.0000E+00	-3.3524E+04	-2.8012E+04	-1.6153E+05	 4.4194E-03	-3.3146E-03
   0.050	-6.2500E-02	-4.6875E-02	 1.2374E+07	 3.1250E+00	-3.1250E+00	 1.7829E-09	-5.1220E-01	-5.2679E-01	-3.5111E+05	-4.1725E-02	-1.5614E-01	 4.0215E-02	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.1980E+06	 1.6910E+06	-1.6910E+06	 8.3384E-16	-2.6747E-15	-7.3335E-16	 2.2789E-14	-6.1132E-14	 2.5210E-14	-1.5894E-13	 1.3043E-12	-1.8715E-13	-2.3766E+05	-2.3766E+05	-6.1980E+06	 1.6910E+06	-1.6910E+06	-2.7311E-09	 2.3724E+04	 2.3724E+04	 1.1094E+04	-1.1180E+05	 1.1180E+05	-4.7564E-12	-2.3766E+05	-2.3766E+05	-4.7948E+06	-3.0622E+06	 3.0622E+06	-2.7311E-09	-4.0779E+04	-4.0779E+04	-2.2188E+04	-1.5280E+05	 1.5280E+05	 9.5129E-12	 2.3766E+05	 2.3766E+05	-6.1980E+06	-1.6910E+06	 1.6910E+06	-1.7867E-09	-2.3724E+04	-2.3724E+04	 1.1094E+04	 1.1180E+05	-1.1180E+05	 3.8077E-12	 2.3766E+05	 2.3766E+05	-4.7948E+06	 3.0622E+06	-3.0622E+06	-1.7867E-09	 4.0779E+04	 4.0779E+04	-2.2188E+04	 1.5280E+05	-1.5280E+05	-7.6153E-12	 0.0000E+00	 1.0524E+06	 1.9101E+06	-3.9692E+06	-4.6875E-02	 0.0000E+00	 0.0000E+00	-2.5435E+05	 1.8341E+02	 1.4905E+06	 1.0523E-10	 0.0000E+00	 0.0000E+00	-1.0524E+06	 1.9101E+06	-3.9692E+06	 4.6875E-02	 0.0000E+00	 0.0000E+00	 2.5435E+05	 1.8341E+02	 1.4905E+06	 1.4183E-10	 0.0000E+00	 0.0000E+00	 5.9865E+05	-4.5064E+06	-1.6646E+06	-1.5925E-09	 2.1233E-09	 2.7621E-03	-1.3364E+05	 2.7772E+04	 5.8820E+05	 2.9505E-11	-3.9340E-11	 0.0000E+00	-7.0777E+05	-2.7645E+06	-3.0286E+06	 9.3750E-03	-1.2500E-02	 0.0000E+00	 7.3120E+04	-1.3886E+04	 4.2594E+05	 1.9244E-11	-2.5659E-11	 0.0000E+00	 7.0777E+05	-2.7645E+06	-3.0286E+06	-1.2276E-10	-1.6368E-10	 0.0000E+00	-7.3120E+04	-1.3886E+04	 4.2594E+05	 1.5406E-11	 2.0541E-11	 0.0000E+00	-5.9865E+05	-4.5064E+06	-1.6646E+06	 1.0418E-09	 1.3891E-09	 2.7621E-03	 1.3364E+05	 2.7772E+04	 5.8820E+05	 2.3619E-11	 3.1492E-11
   0.060	-4.6875E-02	-1.5625E-02	 1.2168E+07	 6.5000E+00	-1.0500E+01	-3.7500E-01	-5.1583E-01	-5.3146E-01	-3.0189E+05	-3.5207E-02	-1.6021E-01	 3.5215E-02	 0.0000E+00	 0.0000E+00	-1.1652E-03	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	-6.0893E+06	 1.4660E+06	-1.4660E+06	 1.0492E-15	-3.2063E-15	-5.3141E-16	 1.9947E-14	-4.4239E-14	 1.2874E-14	-3.6064E-13	 1.9005E-12	-1.7210E-12	-2.0296E+05	-2.0296E+05	-6.0893E+06	 1.4660E+06	-1.4660E+06	-2.8185E-09	 2.2511E+04	 2.2511E+04	 5.2170E+03	-1.0545E+05	 1.0545E+05	 8.7958E-12	-2.0296E+05	-2.0296E+05	-4.6862E+06	-2.5933E+06	 2.5933E+06	-2.8185E-09	-3.4238E+04	-3.4238E+04	-1.0434E+04	-1.3812E+05	 1.3812E+05	-1.7592E-11	 2.0296E+05	 2.0296E+05	-6.0893E+06	-1.4660E+06	 1.4660E+06	-2.3988E-09	-2.2511E+04	-2.2511E+04	 5.2170E+03	 1.0545E+05	-1.0545E+05	-1.7466E-11	 2.0296E+05	 2.0296E+05	-4.6862E+06	 2.5933E+06	-2.5933E+06	-2.3988E-09	 3.4238E+04	 3.4238E+04	-1.0434E+04	 1.3812E+05	-1.3812E+05	 3.4931E-11	 0.0000E+00	 1.0524E+06	 2.0231E+06	-4.1992E+06	-3.9063E-02	 0.0000E+00	 0.0000E+00	-2.4772E+05	-9.7039E+03	 1.4786E+06	-4.8267E-10	 0.0000E+00	 0.0000E+00	-1.0524E+06	 2.0231E+06	-4.1992E+06	 3.9063E-02	 0.0000E+00	 0.0000E+00	 2.4772E+05	-9.7039E+03	 1.4786E+06	-6.5055E-10	-4.4194E-02	 0.0000E+00	 6.1571E+05	-4.5422E+06	-1.9446E+06	 3.5355E-02	 2.6517E-02	 0.0000E+00	-1.5044E+05	 9.0645E+02	 6.5878E+05	-5.4561E-11	 7.2749E-11	 0.0000E+00	-6.9071E+05	-2.8003E+06	-2.8821E+06	 1.9365E-10	-2.5820E-10	-2.7621E-03	 8.1531E+04	-4.5322E+02	 4.7522E+05	-3.5587E-11	 4.7450E-11	 0.0000E+00	 6.9071E+05	-2.8003E+06	-2.8821E+06	-4.4194E-03	 3.3146E-03	-2.7621E-03	-8.1531E+04	-4.5322E+02	 4.7522E+05	-7.0665E-11	-9.4220E-11	 0.0000E+00	-6.1571E+05	-4.5422E+06	-1.9446E+06	 1.3987E-09	 1.8649E-09	 0.0000E+00	 1.5044E+05	 9.0645E+02	 6.5878E+05	-1.0834E-10	-1.4446E-10
